,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
101,"POCO C51 (Power Black, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"53,917 Ratings & 2,600 Reviews",35% off
102,"POCO C50 (Royal Blue, 32 GB)",Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,"2,829 Ratings & 243 Reviews",38% off
103,"REDMI 12 (Moonstone Silver, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"38,664 Ratings & 2,250 Reviews",28% off
104,"POCO C55 (Cool Blue, 128 GB)",8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,"12,980 Ratings & 1,901 Reviews",39% off
105,"OPPO Reno10 5G (Ice Blue, 256 GB)",17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,17.27 cm (6.8 inch) Full HD+ Display,"2,829 Ratings & 243 Reviews",15% off
106,"REDMI 12 (Pastel Blue, 128 GB)",50MP + 8MP | 32MP Front Camera,50MP + 8MP | 32MP Front Camera,50MP + 8MP | 32MP Front Camera,50MP + 8MP | 32MP Front Camera,50MP + 8MP | 32MP Front Camera,50MP + 8MP | 32MP Front Camera,"38,664 Ratings & 2,250 Reviews",28% off
107,"POCO C55 (Power Black, 128 GB)",4300 mAh Battery,4300 mAh Battery,4300 mAh Battery,4300 mAh Battery,4300 mAh Battery,4300 mAh Battery,915 Ratings & 85 Reviews,39% off
108,"POCO M6 Pro 5G (Power Black, 128 GB)",Mediatek Dimensity 9000+ Processor,Mediatek Dimensity 9000+ Processor,Mediatek Dimensity 9000+ Processor,Mediatek Dimensity 9000+ Processor,Mediatek Dimensity 9000+ Processor,Mediatek Dimensity 9000+ Processor,"63,821 Ratings & 3,115 Reviews",23% off
109,"realme 11x 5G (Midnight Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"63,821 Ratings & 3,115 Reviews",15% off
110,"realme 11x 5G (Purple Dawn, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"17,973 Ratings & 888 Reviews",15% off
